state_name;created_at;grade;id;language;national_avg;question;state_avg;state_id;subject_code;total_student;updated_at
Jammu & Kashmir;;3;1;language;63.63026186;Reads small texts with comprehension i.e., identifies main ideas, details,sequence and draws conclusions;67.18234385;1;L304;0;
Jammu & Kashmir;;3;38;language;58.37958018;Reads printed scripts on the classroom walls: poems, posters, charts etc.;64.15356559;1;L312;0;
Jammu & Kashmir;;3;75;math;44.86014936;Reads and writes numbers up to 999 using place value;45.53261672;1;M301;0;
Jammu & Kashmir;;3;112;math;69.59105659;Compares numbers up to 999 based on their place values;73.40077984;1;M302;0;
Jammu & Kashmir;;3;149;math;53.09433594;Solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping;55.59349914;1;M303;0;
Jammu & Kashmir;;3;186;math;61.36625068;Constructs and uses the multiplication facts (up till 10) in daily life situations;64.80707717;1;M304;0;
Jammu & Kashmir;;3;223;math;52.62719893;Analyses and applies an appropriate number operation in the situation/ context;55.11475921;1;M305;0;
Jammu & Kashmir;;3;260;math;47.12859715;Explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction;45.83139847;1;M306;0;
Jammu & Kashmir;;3;297;math;43.42736751;Identifies and makes 2D-shapes by paper folding. paper cutting on the dot grid, using straight lines etc.;40.34472051;1;M309;0;
Jammu & Kashmir;;3;334;math;55.87288305;Fills a given region leaving no gaps using a tile of a given shape;58.01109502;1;M311;0;
Jammu & Kashmir;;3;371;math;50.42683159;Estimates and measures length and distance using standard units like centimeters or meters & identifies relationships;50.33780357;1;M312;0;
Jammu & Kashmir;;3;408;math;71.18972678;Reads the time correctly to the hour using a clock/watch;74.24414464;1;M317;0;
Jammu & Kashmir;;3;445;math;56.32346284;Extends patterns in simple shapes and numbers;59.9824925;1;M318;0;
Jammu & Kashmir;;3;482;math;52.83858721;Records data using tally marks, represents pictorially and draws;53.00648226;1;M319;0;
Jammu & Kashmir;;3;519;evs;61.58180576;Identifies simple features (e.g. movement, at places found/ kept, eating habits, sounds) of animals and birds in the immediate surroundings.;66.57708966;1;EVS302;0;
Jammu & Kashmir;;3;556;evs;51.2573532;Identifies relationships with and among family members;50.0818146;1;EVS303;0;
Jammu & Kashmir;;3;593;evs;65.20640349;Identifies objects, signs (vessels, stoves, transport, means of communication, transport, signboards etc.), places (types of houses/shelters, bus stand, petrol pump etc.) activities (works people do, cooking processes, etc.) at home/school/ neighborhoods;67.57979816;1;EVS304;0;
Jammu & Kashmir;;3;630;evs;52.05501548;Describes need of food for people of different age groups, animals/birds, availability of food and water and use of water at home and surroundings.;57.60891465;1;EVS305;0;
Jammu & Kashmir;;3;667;evs;63.03021748;Groups objects, birds, animals, features, activities according to differences/ similarities using different senses. (e.g. appearance/place of living/ food/ movement/ likes-dislikes/ any other features);64.4420905;1;EVS307;0;
Jammu & Kashmir;;3;704;evs;65.92871657;Identifies directions, location of objects/places in simple maps using signs/symbols/ verbally;70.9744706;1;EVS309;0;
Jammu & Kashmir;;3;741;evs;67.30950727;Guesses properties, estimates quantities of materials/activities in daily life and verifies using symbols/non-standard units;72.91020798;1;EVS310;0;
Jammu & Kashmir;;3;778;evs;53.9116383;Records observations, experiences, information on objects/activities/places visited in different ways and predicts patterns etc;50.90929477;1;EVS311;0;
Jammu & Kashmir;;3;815;evs;42.74752998;Observes rules in games (local, indoor, outdoor);45.70571621;1;EVS313;0;
Jammu & Kashmir;;3;852;evs;62.992927;Voices opinion on good/bad touch , stereotypes for tasks/play/food in family w.r.t gender, misuse/wastage of food and water in family and school.;64.55363825;1;EVS314;0;
Jammu & Kashmir;;5;889;language;55.19833154;Reads text with comprehension, locates details and sequence of events;61.39702319;1;L508;0;
Jammu & Kashmir;;5;926;math;44.80937633;Applies operations of numbers in daily life situations;53.53976969;1;M401;0;
Jammu & Kashmir;;5;963;math;35.91642014;Explores the area and perimeter of simple geometrical shapes (triangle, rectangle, square) in terms of given shape as a unit;37.11644455;1;M412;0;
Jammu & Kashmir;;5;1000;math;47.38427343;Calculates time intervals/duration of familiar daily life events by using forward or backward counting/addition and subtraction;50.71248521;1;M418;0;
Jammu & Kashmir;;5;1037;math;41.97566973;Represent the collected information in tables and bar graphs and draws inferences from these;48.16509207;1;M421;0;
Jammu & Kashmir;;5;1074;math;55.23289532;Reads and writes numbers bigger than 1000 being used in her/his surroundings;62.47993802;1;M501;0;
Jammu & Kashmir;;5;1111;math;45.75788074;Estimates sum, difference, product and quotient of numbers and verifies the same using different strategies like using standard algorithms or breaking a number and then using operation;53.05319383;1;M504;0;
Jammu & Kashmir;;5;1148;math;54.99199454;Finds the number corresponding to part of a collection;59.95482385;1;M505;0;
Jammu & Kashmir;;5;1185;math;38.21900005;Identifies and forms equivalent fractions of a given fraction;38.42486724;1;M506;0;
Jammu & Kashmir;;5;1222;math;42.81734551;Converts fractions into decimals and vice versa;45.32105387;1;M508;0;
Jammu & Kashmir;;5;1259;math;47.78604298;Classifies angles into right angle, acute angle, obtuse angle and represents the same by drawing and tracing;53.37117507;1;M509;0;
Jammu & Kashmir;;5;1296;math;37.85880312;Relates different commonly used larger and smaller units of length, weight and volume and converts larger units to smaller units and vice versa;41.18492892;1;M512;0;
Jammu & Kashmir;;5;1333;math;40.81815671;Estimates the volume of a solid body in known units.;43.22488866;1;M513;0;
Jammu & Kashmir;;5;1370;math;43.34404251;Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals;46.28576627;1;M514;0;
Jammu & Kashmir;;5;1407;math;45.86787489;Identifies the pattern in triangular numbers and square number;50.04505108;1;M515;0;
Jammu & Kashmir;;5;1444;math;46.13490504;Collects data related to various daily life situations. represents it in tabular form and as bar graphs and interprets it;52.72890505;1;M516;0;
Jammu & Kashmir;;5;1481;evs;50.14524069;Identifies relationship with and among family members in extended family;56.52498129;1;EVS403;0;
Jammu & Kashmir;;5;1518;evs;49.89861061;Records observations/experiences/information for objects, activities, phenomena, places visited in different ways and predicts patterns and activities/ phenomena;58.50559286;1;EVS410;0;
Jammu & Kashmir;;5;1555;evs;44.74807312;Explains the super senses and unusual features (sight, smell, hear, sleep, sound, etc.) of animals and their responses to light, sound, food etc.;53.24329415;1;EVS501;0;
Jammu & Kashmir;;5;1592;evs;50.13567716;Describes the interdependence among animals, plants and humans;58.36819904;1;EVS503;0;
Jammu & Kashmir;;5;1629;evs;47.79471283;Explains the role and functions of different institutions in daily life (Bank, Panchayat, cooperatives. police station, etc.);56.72651317;1;EVS504;0;
Jammu & Kashmir;;5;1666;evs;48.43736914;Establishes linkages among terrain, climate, resources (food, water, shelter, livelihood) and cultural life. (e.g. life in distant/difficult areas like hot/cold deserts);58.4850743;1;EVS505;0;
Jammu & Kashmir;;5;1703;evs;47.96151678;Groups objects, materials, activities for features/properties such as shape, taste, color , texture, sound, traits etc.;54.9743592;1;EVS506;0;
Jammu & Kashmir;;5;1740;evs;47.34214092;Traces the changes in practices, customs, techniques of past and present through coins, paintings, monuments, museum etc. and interacting with elders;49.35205638;1;EVS507;0;
Jammu & Kashmir;;5;1777;evs;47.79993589;Guesses (properties, conditions of phenomena), estimates spatial quantities (distance, area, volume, weight etc. ) and time in simple standard units and verifies using simple tools/set ups;49.37006532;1;EVS508;0;
Jammu & Kashmir;;5;1814;evs;55.3338799;Records observations/experiences/information in an organized manner (e.g. in tables/ sketches/ bar graphs/ pie charts) and predicts patterns in activities/ phenomena (e.g. floating, sinking, mixing, evaporation , germination, spoilage) to establish relation between cause and effect.;61.68279166;1;EVS509;0;
Jammu & Kashmir;;5;1851;evs;45.21567946;Identifies signs, directions, location of different objects/landmarks of a locality / place visited in maps and predicts directions w.r.t. positions at different places for a location;50.42426409;1;EVS510;0;
Jammu & Kashmir;;5;1888;evs;53.66416907;Voices opinions on issues observed/experienced and relates practices/happenings to larger issues of society;60.67971178;1;EVS512;0;
Jammu & Kashmir;;5;1925;evs;35.25714569;Suggests ways for hygiene, health, managing waste. disaster/emergency situations and protecting/saving resources;39.62604776;1;EVS513;0;
Jammu & Kashmir;;8;1962;language;52.97309821;Read textual/non-textual materials with comprehension and identifies the details, characters, main idea and sequence of ideas and events while reading;58.57522816;1;L813;0;
Jammu & Kashmir;;8;1999;math;49.36112431;Solves problems involving large numbers by applying appropriate operations;56.76042396;1;M601;0;
Jammu & Kashmir;;8;2036;math;47.59097545;Solves problems on daily life situations involving addition and subtraction of fractions / decimals;51.00057899;1;M606;0;
Jammu & Kashmir;;8;2073;math;28.73591711;Finds out the perimeter and area of rectangular objects in the surroundings like floor of the class room, surfaces of a chalk box etc.;30.10825797;1;M620;0;
Jammu & Kashmir;;8;2110;math;40.79030337;Arranges given/collected information in the form of table, pictograph and bar graph and interprets them;44.90261835;1;M621;0;
Jammu & Kashmir;;8;2147;math;34.17930695;Interprets the division and multiplication of fractions;36.66720531;1;M702;0;
Jammu & Kashmir;;8;2184;math;22.99285869;Solves problems related to daily life situations involving rational numbers;23.52453605;1;M705;0;
Jammu & Kashmir;;8;2221;math;28.49537318;Uses exponential form of numbers to simplify problems involving multiplication and division of large numbers;28.77921039;1;M706;0;
Jammu & Kashmir;;8;2258;math;37.85720974;Adds/subtracts algebraic expressions;40.87887267;1;M707;0;
Jammu & Kashmir;;8;2295;math;29.74238625;Solves problems related to conversion of percentage to fraction and decimal and vice versa;30.55749379;1;M710;0;
Jammu & Kashmir;;8;2332;math;33.81366236;Finds out approximate area of closed shapes by using unit square grid/graph sheet;35.6688285;1;M717;0;
Jammu & Kashmir;;8;2369;math;43.31123397;Finds various representative values for simple data from her/his daily life contexts like mean, median and mode;46.83687199;1;M719;0;
Jammu & Kashmir;;8;2406;math;36.72808475;Interprets data using bar graph such as consumption of electricity is more in winters than summer;43.06334232;1;M721;0;
Jammu & Kashmir;;8;2443;math;33.51562816;Generalizes properties of addition, subtraction, multiplication and division of rational numbers through patterns;39.60683723;1;M801;0;
Jammu & Kashmir;;8;2480;math;39.69694416;Finds rational numbers between two given rational numbers;42.27908523;1;M802;0;
Jammu & Kashmir;;8;2517;math;42.80952108;Proves divisibility rules of 2, 3,4, 5, 6, 9 and 11;46.59178429;1;M803;0;
Jammu & Kashmir;;8;2554;math;34.15950514;Finds squares,cubes,square roots and cube roots of numbers using different methods;36.79274415;1;M804;0;
Jammu & Kashmir;;8;2591;math;42.22910329;uses various algebric identities in solving problem of daily life.;47.32818343;1;M808;0;
Jammu & Kashmir;;8;2628;math;39.31517354;Verifies properties of parallelogram and establishes the relationship between them through reasoning;44.02914151;1;M812;0;
Jammu & Kashmir;;8;2665;math;30.49771775;Find surface area and volume of cuboidal and cylindrical object;31.27087293;1;M818;0;
Jammu & Kashmir;;8;2702;math;29.72837381;Draws and interprets bar charts and pie charts;33.42753542;1;M819;0;
Jammu & Kashmir;;8;2739;sci;38.6624294;Classifies materials and organisms based on properties/characteristics;45.135018;1;SCI703;0;
Jammu & Kashmir;;8;2776;sci;37.07110679;Conducts simple investigation to seek answers to queries;45.94510697;1;SCI704;0;
Jammu & Kashmir;;8;2813;sci;44.69084783;Relates processes and phenomenon with causes;45.99453231;1;SCI705;0;
Jammu & Kashmir;;8;2850;sci;42.66757359;"Measures and calculates e.g.. temperature; pulse rate; speed of moving objects; time period of a simple pendulum, etc.";48.61594728;1;SCI708;0;
Jammu & Kashmir;;8;2887;sci;35.44045265;Plots and interprets graphs;43.15514616;1;SCI710;0;
Jammu & Kashmir;;8;2924;sci;26.33601219;Constructs models using materials from surroundings and explains their working;29.08565189;1;SCI711;0;
Jammu & Kashmir;;8;2961;sci;46.11448868;Differentiates materials, organism and processes;52.81014028;1;SCI801;0;
Jammu & Kashmir;;8;2998;sci;33.95429397;Relates processes and phenomenon with causes;37.65200303;1;SCI804;0;
Jammu & Kashmir;;8;3035;sci;35.64002396;Explains processes and phenomenon;44.59622109;1;SCI805;0;
Jammu & Kashmir;;8;3072;sci;33.72744696;Measures angles of incidence and reflection, etc.;37.76009375;1;SCI807;0;
Jammu & Kashmir;;8;3109;sci;44.6740778;Applies learning of scientific concepts in day-to-day life;51.25479523;1;SCI811;0;
Jammu & Kashmir;;8;3146;sci;43.70258064;Makes efforts to protect environment;52.25263983;1;SCI813;0;
Jammu & Kashmir;;8;3183;sst;40.0252085;Identifies latitudes and longitudes, e.g., poles, equator, tropics, States /Ws of India and other neighboring countries on globe and the world map;43.24370437;1;SST605;0;
Jammu & Kashmir;;8;3220;sst;26.31341968;Locates important historical sites, places on an outline map of India.;25.93188529;1;SST610;0;
Jammu & Kashmir;;8;3257;sst;35.34243324;Describes the functioning of rural and urban local government bodies in sectors like health and education;37.43522771;1;SST625;0;
Jammu & Kashmir;;8;3294;sst;46.21675658;Explains preventive actions to be undertaken in the event of disasters;51.73065929;1;SST703;0;
Jammu & Kashmir;;8;3331;sst;43.90557534;Describes formation of landforms due to various factors;49.51219228;1;SST704;0;
Jammu & Kashmir;;8;3368;sst;39.38328158;Explains the significance of equality in democracy;44.67478634;1;SST722;0;
Jammu & Kashmir;;8;3405;sst;41.68680835;Describes the process of election to the legislative assembly;40.3794996;1;SST726;0;
Jammu & Kashmir;;8;3442;sst;56.08979533;Explains the functioning of media with appropriate examples from newspapers;60.50946169;1;SST731;0;
Jammu & Kashmir;;8;3479;sst;38.287391;Differentiates between different kinds of markets;39.81764844;1;SST733;0;
Jammu & Kashmir;;8;3516;sst;40.68413325;Traces how goods travel through various market places;47.65068608;1;SST734;0;
Jammu & Kashmir;;8;3553;sst;39.43486333;Describes major crops, types of farming and agricultural practices in her/his own areaistate;42.18071357;1;SST802;0;
Jammu & Kashmir;;8;3590;sst;28.45707033;Locates distribution of important minerals e.g. coal and mineral oil on the world map;30.85906959;1;SST805;0;
Jammu & Kashmir;;8;3627;sst;37.39117524;Justifies judicious use of natural resources;37.90760055;1;SST807;0;
Jammu & Kashmir;;8;3664;sst;35.60179601;Draws interrelationship between types of farming and development in different regions of the world;38.37900591;1;SST809;0;
Jammu & Kashmir;;8;3701;sst;28.01137019;Distinguishes the modern period from the medieval and the ancient periods through the use of sources;26.92951536;1;SST810;0;
Jammu & Kashmir;;8;3738;sst;32.97000623;Explains the origin, nature and spread of the revolt of 1857 and the lessons learned from it.;37.41837753;1;SST815;0;
Jammu & Kashmir;;8;3775;sst;27.40803408;Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period;33.27021189;1;SST816;0;
Jammu & Kashmir;;8;3812;sst;43.86030071;Analyses the issues related to caste, women, widow remarriage, child marriage, social reforms and the laws and policies of colonial administration towards these issues;46.11847587;1;SST818;0;
Jammu & Kashmir;;8;3849;sst;29.15540248;Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation;42.88820654;1;SST823;0;
Jammu & Kashmir;;8;3886;sst;35.89976149;Describes the process of making a law. (e.g. Domestic Violence Act, RTI Act, RTE Act);40.56368169;1;SST827;0;
Jammu & Kashmir;;8;3923;sst;36.59235573;Identifies the role of Government in providing public facilities such as water, sanitation, road, electricity etc, and recognizes their availability;34.90386738;1;SST831;0;
Jammu & Kashmir;;8;3960;sst;60.53447082;Draws bar diagram to show population of different countries/India/states;68.34744398;1;SST833;0;
Jammu & Kashmir;;10;3997;eng;43.18472;Reads, comprehends and responds to complex texts independently.;49.937683;1;E1007;0;
Jammu & Kashmir;;10;4034;mil;41.25734;पाठ्यवस्तु में शामिल रचनाओं के अतिरिक्‍त अन्य कविता, कहानी,एकांकी को पढ़ते-लिखते और मंचन करते हैं।;35.832794;1;MIL1011;0;
Jammu & Kashmir;;10;4071;math;39.640007;Generalises properties of numbers and relations among them studied earlier to evolve results, such as, Euclid’s division algorithm, Fundamental Theorem of Arithmetic and applies them to solve problems related to real life contexts.;39.568604;1;M1001;0;
Jammu & Kashmir;;10;4108;math;32.196224;Develops a relationship between algebraic and graphical methods of finding the zeroes of a polynomial.;31.153885;1;M1002;0;
Jammu & Kashmir;;10;4145;math;30.136347;Finds solutions of pairs of linear equations in two variables using graphical and different algebraic methods.;28.375866;1;M1003;0;
Jammu & Kashmir;;10;4182;math;36.399822;Demonstrates strategies of finding roots and determining the nature of roots of a quadratic equation.;37.128574;1;M1004;0;
Jammu & Kashmir;;10;4219;math;36.75047;Develops strategies to apply the concept of A.P. to daily life situations. Works out ways to differentiate between congruent and similar figures.;36.479504;1;M1005;0;
Jammu & Kashmir;;10;4256;math;31.94823;Establishes properties for similarity of two triangles logically using different geometric criteria established earlier such as, Basic Proportionality Theorem, etc.;29.221203;1;M1006;0;
Jammu & Kashmir;;10;4293;math;28.170973;"Derives formulae to establish relations for geometrical shapes in the context of a coordinate plane, such as, finding the distance between two given points, to determine the coordinates of a point between any two given points, to find the area of a triangle
        etc.";26.345608;1;M1007;0;
Jammu & Kashmir;;10;4330;math;32.813667;Determines all trigonometric ratios with respect to a given acute angle (of a right triangle) and uses them in solving problems in daily life contexts like finding heights of different structures or distance from them.;29.760223;1;M1008;0;
Jammu & Kashmir;;10;4367;math;36.4026;Derives proofs of theorems related to the tangents of circles.;37.01617;1;M1009;0;
Jammu & Kashmir;;10;4404;math;20.765802;Examines the steps of geometrical constructions and reason out each step;20.731836;1;M1010;0;
Jammu & Kashmir;;10;4441;math;35.30695;Finds surface areas and volumes of objects in the surroundings by visualising them as a combination of different solids like cylinder and a cone, cylinder and a hemisphere, combination of different cubes, etc.;33.816242;1;M1011;0;
Jammu & Kashmir;;10;4478;math;27.297476;Calculates mean, median and mode for different sets of data related with real life contexts.;24.414114;1;M1012;0;
Jammu & Kashmir;;10;4515;sci;37.17107;Differentiates materials, objects, organisms, phenomena, and processes, based on, properties and characteristics.;40.641613;1;SCI1001;0;
Jammu & Kashmir;;10;4552;sci;36.145523;Classifies materials, objects, organisms, phenomena, and processes, based on properties and characteristics.;38.722553;1;SCI1002;0;
Jammu & Kashmir;;10;4589;sci;40.16393;Relates processes and phenomena with causes and effects;42.640877;1;SCI1003;0;
Jammu & Kashmir;;10;4626;sci;35.628475;Explains processes and phenomena.;38.112396;1;SCI1004;0;
Jammu & Kashmir;;10;4663;sci;29.918556;Analyses and interprets data, graphs, and figures;31.656147;1;SCI1005;0;
Jammu & Kashmir;;10;4700;sci;28.238886;Calculates using the data given;28.194847;1;SCI1006;0;
Jammu & Kashmir;;10;4737;sci;37.598038;Uses scientific conventions to represent units of various quantities, symbols, formulae, and equations.;43.11937;1;SCI1007;0;
Jammu & Kashmir;;10;4774;sci;32.583794;Applies learning to hypothetical situations;33.065357;1;SCI1008;0;
Jammu & Kashmir;;10;4811;sci;36.140385;Applies scientific concepts in daily life and solving problems;39.457813;1;SCI1009;0;
Jammu & Kashmir;;10;4848;sci;28.161814;Derives formulae, equations, and laws;29.690708;1;SCI1010;0;
Jammu & Kashmir;;10;4885;sst;33.983433;Recognises and retrieves facts, figures, and narrate processes.;37.109657;1;SST1001;0;
Jammu & Kashmir;;10;4922;sst;36.572113;Classifies and compares events, facts, data, and figures.;38.526752;1;SST1002;0;
Jammu & Kashmir;;10;4959;sst;35.907436;Explains cause and effect relationship between phenomena, events, and their occurrence.;40.28164;1;SST1003;0;
Jammu & Kashmir;;10;4996;sst;33.303093;Analyses and evaluates information.;36.330994;1;SST1004;0;
Jammu & Kashmir;;10;5033;sst;41.890568;Interprets.;40.538525;1;SST1005;0;
Jammu & Kashmir;;10;5070;sst;27.184587;Draws interlinkages within Social Science.;27.722183;1;SST1006;0;
Jammu & Kashmir;;10;5107;sst;51.316265;Identifies assumptions, biases, prejudices, or stereotypes about various aspects.;51.074913;1;SST1007;0;
Jammu & Kashmir;;10;5144;sst;45.048756;Demonstrates inquisitiveness, enquiry.;45.909985;1;SST1008;0;
Jammu & Kashmir;;10;5181;sst;28.27952;Constructs views, arguments, and ideas on the basis of collected or given information.;28.58127;1;SST1009;0;
Jammu & Kashmir;;10;5218;sst;35.440754;Extrapolates and predicts events and phenomena.;39.56786;1;SST1010;0;
Jammu & Kashmir;;10;5255;sst;44.899364;Illustrates decision making/problem solving skills.;48.257618;1;SST1011;0;
Jammu & Kashmir;;10;5292;sst;37.20472;Shows sensitivity and appreciation skills.;38.750553;1;SST1012;0;
Himachal Pradesh;;3;2;language;63.63026186;Reads small texts with comprehension i.e., identifies main ideas, details,sequence and draws conclusions;61.05265109;2;L304;0;
Himachal Pradesh;;3;39;language;58.37958018;Reads printed scripts on the classroom walls: poems, posters, charts etc.;58.01209489;2;L312;0;
Himachal Pradesh;;3;76;math;44.86014936;Reads and writes numbers up to 999 using place value;40.37377844;2;M301;0;
Himachal Pradesh;;3;113;math;69.59105659;Compares numbers up to 999 based on their place values;65.36098424;2;M302;0;
Himachal Pradesh;;3;150;math;53.09433594;Solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping;47.59065897;2;M303;0;
Himachal Pradesh;;3;187;math;61.36625068;Constructs and uses the multiplication facts (up till 10) in daily life situations;56.6290873;2;M304;0;
Himachal Pradesh;;3;224;math;52.62719893;Analyses and applies an appropriate number operation in the situation/ context;48.11575403;2;M305;0;
Himachal Pradesh;;3;261;math;47.12859715;Explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction;41.23191503;2;M306;0;
Himachal Pradesh;;3;298;math;43.42736751;Identifies and makes 2D-shapes by paper folding. paper cutting on the dot grid, using straight lines etc.;35.90913849;2;M309;0;
Himachal Pradesh;;3;335;math;55.87288305;Fills a given region leaving no gaps using a tile of a given shape;53.85100421;2;M311;0;
Himachal Pradesh;;3;372;math;50.42683159;Estimates and measures length and distance using standard units like centimeters or meters & identifies relationships;45.74854153;2;M312;0;
Himachal Pradesh;;3;409;math;71.18972678;Reads the time correctly to the hour using a clock/watch;67.69458719;2;M317;0;
Himachal Pradesh;;3;446;math;56.32346284;Extends patterns in simple shapes and numbers;53.00195895;2;M318;0;
Himachal Pradesh;;3;483;math;52.83858721;Records data using tally marks, represents pictorially and draws;50.04152732;2;M319;0;
Himachal Pradesh;;3;520;evs;61.58180576;Identifies simple features (e.g. movement, at places found/ kept, eating habits, sounds) of animals and birds in the immediate surroundings.;60.6341539;2;EVS302;0;
Himachal Pradesh;;3;557;evs;51.2573532;Identifies relationships with and among family members;50.2500642;2;EVS303;0;
Himachal Pradesh;;3;594;evs;65.20640349;Identifies objects, signs (vessels, stoves, transport, means of communication, transport, signboards etc.), places (types of houses/shelters, bus stand, petrol pump etc.) activities (works people do, cooking processes, etc.) at home/school/ neighborhoods;64.33924201;2;EVS304;0;
Himachal Pradesh;;3;631;evs;52.05501548;Describes need of food for people of different age groups, animals/birds, availability of food and water and use of water at home and surroundings.;50.80381502;2;EVS305;0;
Himachal Pradesh;;3;668;evs;63.03021748;Groups objects, birds, animals, features, activities according to differences/ similarities using different senses. (e.g. appearance/place of living/ food/ movement/ likes-dislikes/ any other features);61.31461158;2;EVS307;0;
Himachal Pradesh;;3;705;evs;65.92871657;Identifies directions, location of objects/places in simple maps using signs/symbols/ verbally;65.33429826;2;EVS309;0;
Himachal Pradesh;;3;742;evs;67.30950727;Guesses properties, estimates quantities of materials/activities in daily life and verifies using symbols/non-standard units;64.8766274;2;EVS310;0;
Himachal Pradesh;;3;779;evs;53.9116383;Records observations, experiences, information on objects/activities/places visited in different ways and predicts patterns etc;47.28649206;2;EVS311;0;
Himachal Pradesh;;3;816;evs;42.74752998;Observes rules in games (local, indoor, outdoor);41.62435562;2;EVS313;0;
Himachal Pradesh;;3;853;evs;62.992927;Voices opinion on good/bad touch , stereotypes for tasks/play/food in family w.r.t gender, misuse/wastage of food and water in family and school.;61.87954556;2;EVS314;0;
Himachal Pradesh;;5;890;language;55.19833154;Reads text with comprehension, locates details and sequence of events;52.53098702;2;L508;0;
Himachal Pradesh;;5;927;math;44.80937633;Applies operations of numbers in daily life situations;34.45397005;2;M401;0;
Himachal Pradesh;;5;964;math;35.91642014;Explores the area and perimeter of simple geometrical shapes (triangle, rectangle, square) in terms of given shape as a unit;28.3931426;2;M412;0;
Himachal Pradesh;;5;1001;math;47.38427343;Calculates time intervals/duration of familiar daily life events by using forward or backward counting/addition and subtraction;40.95374389;2;M418;0;
Himachal Pradesh;;5;1038;math;41.97566973;Represent the collected information in tables and bar graphs and draws inferences from these;35.70784048;2;M421;0;
Himachal Pradesh;;5;1075;math;55.23289532;Reads and writes numbers bigger than 1000 being used in her/his surroundings;51.48520486;2;M501;0;
Himachal Pradesh;;5;1112;math;45.75788074;Estimates sum, difference, product and quotient of numbers and verifies the same using different strategies like using standard algorithms or breaking a number and then using operation;41.22914589;2;M504;0;
Himachal Pradesh;;5;1149;math;54.99199454;Finds the number corresponding to part of a collection;52.69272646;2;M505;0;
Himachal Pradesh;;5;1186;math;38.21900005;Identifies and forms equivalent fractions of a given fraction;31.8441747;2;M506;0;
Himachal Pradesh;;5;1223;math;42.81734551;Converts fractions into decimals and vice versa;36.94076821;2;M508;0;
Himachal Pradesh;;5;1260;math;47.78604298;Classifies angles into right angle, acute angle, obtuse angle and represents the same by drawing and tracing;43.38453587;2;M509;0;
Himachal Pradesh;;5;1297;math;37.85880312;Relates different commonly used larger and smaller units of length, weight and volume and converts larger units to smaller units and vice versa;32.10652057;2;M512;0;
Himachal Pradesh;;5;1334;math;40.81815671;Estimates the volume of a solid body in known units.;31.81702871;2;M513;0;
