state_name;grade;id;created_at;updated_at;subject;state_average;national_average;state_average_scaled_2021;state_average_scaled_2017;below_basic;basic;proficient;advanced
Telangana;3;36;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;44.5078022;57.41111026;282;327;42.36129058;33.02820238;19.82742562;4.783081416
Telangana;3;36;2022-05-20T00:01:10;2022-05-20T00:01:10;language;47.89623003;61.88003463;294;340;51.59738236;26.09875315;15.84682953;6.457034968
Telangana;3;36;2022-05-20T00:01:10;2022-05-20T00:01:10;math;44.4041679;56.94394351;278;332;43.46294198;31.70274478;19.05893773;5.775375506
Telangana;5;73;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;37.69099956;48.48748114;260;303;53.93345493;31.23038587;13.28299185;1.553167344
Telangana;5;73;2022-05-20T00:01:11;2022-05-20T00:01:11;language;42.93065715;55.19833154;286;314;35.4289919;41.19601998;19.36549155;4.009496576
Telangana;5;73;2022-05-20T00:01:11;2022-05-20T00:01:11;math;35.17481879;43.71621283;265;316;48.72182915;39.6498764;9.707207298;1.921087157
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;language;47.97838986;52.97309821;289;297;28.03745433;47.37401746;16.37404863;8.214479578
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;math;31.88600857;36.02218948;243;257;32.25034848;51.95117119;12.08827564;3.710204694
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;35.09745038;39.38511521;235;259;47.39793973;36.66624826;11.90542617;4.030385837
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;33.76198013;39.33958349;235;270;53.9391012;37.30460597;5.666025643;3.090267183
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;48.439785;43.18472;291;264;16.464077;13.185172;44.62025;25.7305
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;math;29.4934;32.09475;210;253;35.784683;48.701397;12.430851;3.0830696
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;35.56376;41.25734;242;247;70.213905;28.006052;1.7800416;0
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;33.964592;34.924866;202;260;76.63768;17.076092;5.7166014;0.5696301
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;36.25709;37.30951;226;249;63.69271;23.903278;11.35938;1.0446326
